1409.4363551949414 1.0  0.0 inf
1409.4490101946176 1.0  0.0 inf
1409.4616603921363 1.0  0.0 inf
1409.474305788472 1.0  0.0 inf
1409.4869463845976 1.0  0.0 inf
1409.4995821814873 1.0  0.0 inf
1409.5122131801154 1.0  0.0 inf
1409.5248393814547 1.0  0.0 inf
1409.53746078648 1.0  0.0 inf
1409.5500773961649 1.0  0.0 inf
1409.5626892114828 1.0  0.0 inf
1409.575296233408 1.0  0.0 inf
1409.587898462914 1.0  0.0 inf
1409.600495900975 1.0  0.0 inf
1409.6130885485643 1.0  0.0 inf
1409.6256764066563 1.0  0.0 inf
1409.6382594762242 1.0  0.0 inf
1409.6508377582427 1.0  0.0 inf
1409.663411253685 1.0  0.0 inf
1409.6759799635247 1.0  0.0 inf
1409.688543888736 1.0  0.0 inf
1409.701103030293 1.0  0.0 inf
1409.7136573891692 1.0  0.0 inf
1409.7262069663384 1.0  0.0 inf
1409.7387517627749 1.0  0.0 inf
1409.7512917794515 1.0  0.0 inf
1409.7638270173427 1.0  0.0 inf
1409.7763574774226 1.0  0.0 inf
1409.788883160665 1.0  0.0 inf
1409.8014040680428 1.0  0.0 inf
1409.813920200531 1.0  0.0 inf
1409.8264315591025 1.0  0.0 inf
1409.8389381447316 1.0  0.0 inf
1409.851439958392 1.0  0.0 inf
1409.8639370010578 1.0  0.0 inf
1409.876429273703 1.0  0.0 inf
1409.8889167773004 1.0  0.0 inf
1409.9013995128248 1.0  0.0 inf
1409.9138774812495 1.0  0.0 inf
1409.926350683549 1.0  0.0 inf
1409.9388191206965 1.0  0.0 inf
1409.9512827936655 1.0  0.0 inf
1409.9637417034307 1.0  0.0 inf
1409.9761958509655 1.0  0.0 inf
1409.988645237244 1.0  0.0 inf
1410.0010898632397 1.0  0.0 inf
1410.0135297299264 1.0  0.0 inf
1410.0259648382782 1.0  0.0 inf
1410.038395189269 1.0  0.0 inf
1410.0508207838725 1.0  0.0 inf
1410.063241623062 1.0  0.0 inf
1410.075657707812 1.0  0.0 inf
1410.088069039096 1.0  0.0 inf
1410.1004756178882 1.0  0.0 inf
1410.1128774451622 1.0  0.0 inf
1410.1252745218917 1.0  0.0 inf
1410.137666849051 1.0  0.0 inf
1410.150054427613 1.0  0.0 inf
1410.1624372585522 1.0  0.0 inf
1410.1748153428423 1.0  0.0 inf
1410.1871886814577 1.0  0.0 inf
1410.199557275371 1.0  0.0 inf
1410.2119211255572 1.0  0.0 inf
1410.2242802329897 1.0  0.0 inf
1410.236634598642 1.0  0.0 inf
1410.2489842234884 1.0  0.0 inf
1410.2613291085024 1.0  0.0 inf
1410.273669254658 1.0  0.0 inf
1410.286004662929 1.0  0.0 inf
1410.2983353342895 1.0  0.0 inf
1410.310661269713 1.0  0.0 inf
1410.322982470173 1.0  0.0 inf
1410.335298936644 1.0  0.0 inf
1410.3476106700994 1.0  0.0 inf
1410.3599176715131 1.0  0.0 inf
1410.3722199418592 1.0  0.0 inf
1410.3845174821113 1.0  0.0 inf
1410.3968102932436 1.0  0.0 inf
1410.4090983762292 1.0  0.0 inf
1410.4213817320424 1.0  0.0 inf
1410.433660361657 1.0  0.0 inf
1410.4459342660468 1.0  0.0 inf
1410.4582034461855 1.0  0.0 inf
1410.4704679030472 1.0  0.0 inf
1410.4827276376054 1.0  0.0 inf
1410.494982650834 1.0  0.0 inf
1410.507232943707 1.0  0.0 inf
1410.5194785171986 1.0  0.0 inf
1410.5317193722815 1.0  0.0 inf
1410.5439555099308 1.0  0.0 inf
1410.5561869311196 1.0  0.0 inf
1410.568413636822 1.0  0.0 inf
1410.5806356280116 1.0  0.0 inf
1410.592852905662 1.0  0.0 inf
1410.6050654707478 1.0  0.0 inf
1410.6172733242422 1.0  0.0 inf
1410.6294764671195 1.0  0.0 inf
1410.641674900353 1.0  0.0 inf
1410.6538686249166 1.0  0.0 inf
1410.6660576417848 1.0  0.0 inf
1410.6782419519309 1.0  0.0 inf
1410.6904215563284 1.0  0.0 inf
1410.7025964559518 1.0  0.0 inf
1410.7147666517744 1.0  0.0 inf
1410.7269321447702 1.0  0.0 inf
1410.7390929359135 1.0  0.0 inf
1410.7512490261774 1.0  0.0 inf
1410.7634004165363 1.0  0.0 inf
1410.7755471079638 1.0  0.0 inf
1410.7876891014334 1.0  0.0 inf
1410.7998263979196 1.0  0.0 inf
1410.8119589983955 1.0  0.0 inf
1410.8240869038357 1.0  0.0 inf
1410.8362101152134 1.0  0.0 inf
1410.848328633503 1.0  0.0 inf
1410.8604424596774 1.0  0.0 inf
1410.8725515947112 1.0  0.0 inf
1410.8846560395782 1.0  0.0 inf
1410.896755795252 1.0  0.0 inf
1410.9088508627065 1.0  0.0 inf
1410.9209412429154 1.0  0.0 inf
1410.9330269368531 1.0  0.0 inf
1410.9451079454925 1.0  0.0 inf
1410.9571842698083 1.0  0.0 inf
1410.969255910774 1.0  0.0 inf
1410.9813228693629 1.0  0.0 inf
1410.9933851465498 1.0  0.0 inf
1411.0054427433076 1.0  0.0 inf
1411.017495660611 1.0  0.0 inf
1411.029543899433 1.0  0.0 inf
1411.0415874607484 1.0  0.0 inf
1411.05362634553 1.0  0.0 inf
1411.0656605547524 1.0  0.0 inf
1411.077690089389 1.0  0.0 inf
1411.0897149504135 1.0  0.0 inf
1411.1017351388004 1.0  0.0 inf
1411.113750655523 1.0  0.0 inf
1411.1257615015552 1.0  0.0 inf
1411.137767677871 1.0  0.0 inf
1411.1497691854436 1.0  0.0 inf
1411.1617660252475 1.0  0.0 inf
1411.1737581982566 1.0  0.0 inf
1411.1857457054446 1.0  0.0 inf
1411.1977285477851 1.0  0.0 inf
1411.209706726252 1.0  0.0 inf
1411.221680241819 1.0  0.0 inf
1411.23364909546 1.0  0.0 inf
1411.2456132881491 1.0  0.0 inf
1411.2575728208603 1.0  0.0 inf
1411.2695276945674 1.0  0.0 inf
1411.2814779102434 1.0  0.0 inf
1411.2934234688628 1.0  0.0 inf
1411.3053643713988 1.0  0.0 inf
1411.3173006188265 1.0  0.0 inf
1411.3292322121183 1.0  0.0 inf
1411.3411591522488 1.0  0.0 inf
1411.3530814401918 1.0  0.0 inf
1411.364999076921 1.0  0.0 inf
1411.37691206341 1.0  0.0 inf
1411.3888204006334 1.0  0.0 inf
1411.4007240895642 1.0  0.0 inf
1411.4126231311768 1.0  0.0 inf
1411.4245175264443 1.0  0.0 inf
1411.4364072763417 1.0  0.0 inf
1411.4482923818416 1.0  0.0 inf
1411.4601728439184 1.0  0.0 inf
1411.4720486635465 1.0  0.0 inf
1411.4839198416985 1.0  0.0 inf
1411.4957863793488 1.0  0.0 inf
1411.5076482774714 1.0  0.0 inf
1411.5195055370402 1.0  0.0 inf
1411.5313581590287 1.0  0.0 inf
1411.5432061444112 1.0  0.0 inf
1411.5550494941608 1.0  0.0 inf
1411.5668882092518 1.0  0.0 inf
1411.578722290658 1.0  0.0 inf
1411.5905517393535 1.0  0.0 inf
1411.6023765563116 1.0  0.0 inf
1411.6141967425062 1.0  0.0 inf
1411.6260122989115 1.0  0.0 inf
1411.637823226501 1.0  0.0 inf
1411.6496295262486 1.0  0.0 inf
1411.6614311991284 1.0  0.0 inf
1411.6732282461137 1.0  0.0 inf
1411.6850206681788 1.0  0.0 inf
1411.6968084662974 1.0  0.0 inf
1411.7085916414433 1.0  0.0 inf
1411.72037019459 1.0  0.0 inf
